ORGANIZATION	AWARDS	FUNDING	CITY	STATE
"PLASALUS, LLC"	1	182375	EL CERRITO	CA
"PLASTIPURE, INC."	1	478484	AUSTIN	TX
"PLX PHARMA, INC."	2	700267	HOUSTON	TX
"PNA INNOVATIONS, INC."	1	270277	PITTSBURGH	PA
POINT LOMA NAZARENE UNIVERSITY	1	252509	SAN DIEGO	CA
"POLARIS HEALTH DIRECTIONS, INC."	2	480289	Langhorne	PA
"POLGENIX, INC."	1	834452	CLEVELAND	OH
POLYPEPTIDE LABORATORIES SAN DIEGO	1	47881	SAN DIEGO	CA
POMONA COLLEGE	1	232017	CLAREMONT	CA
PONCE SCHOOL OF MEDICINE	10	5614741	PONCE	PR
POPULATION COUNCIL	8	4833128	NEW YORK	NY
POPULATION REFERENCE BUREAU	2	207385	WASHINGTON	DC
PORTLAND STATE UNIVERSITY	10	3784716	PORTLAND	OR
"PORTLAND VA RESEARCH FOUNDATION, INC."	2	53682	PORTLAND	OR
POSIT SCIENCE CORPORATION	1	401310	SAN FRANCISCO	CA
"POTOMAC AFFINITY PROTEINS, LLC"	2	990754	NORTH POTOMAC	MD
"POWERHOUSE PROTEOMIC SYSTEMS, LLC"	1	274952	ZIONSVILLE	IN
"PPD, INC."	1	2231959	WILMINGTON	NC
"PRAEVIUM RESEARCH, INC."	1	493730	SANTA BARBARA	CA
"PRASAN PHARMACEUTICAL CONSULTANTS, LLC"	1	169959	YPSILANTI	MI
"PRAXIS BIOSCIENCES, LLC"	1	385183	IRVINE	CA
"PRAXIS, INC."	3	981167	BELMONT	MA
"PRECISION BIOSERVICES, INC."	1	3781713	FREDERICK	MD
"PRECISION GENOME ENGINEERING, INC."	1	507713	SEATTLE	WA
"PRECLINOMICS, INC."	1	668483	INDIANAPOLIS	IN
PREDICTIVE BIOLOGY	1	224914	CARLSBAD	CA
"PREMITEC, INC."	1	683516	RALEIGH	NC
"PRESAGE BIOSCIENCES, INC."	1	144717	Seattle	WA
PRESBYTERIAN COLLEGE	1	96597	CLINTON	SC
"PRESSURE BIOSCIENCE, INC."	1	141093	South Easton	MA
"PREVENTION STRATEGIES, LLC"	2	815263	GREENSBORO	NC
"PRIMITY, INC."	1	822734	Santa Clara	CA
"PRIMORIGEN BIOSCIENCES, INC."	5	1582152	MADISON	WI
PRIMUS CONSULTING	1	311533	BRADENTON	FL
PRINCETON UNIVERSITY	117	39609228	PRINCETON	NJ
PRISM CLINICAL IMAGING INC.	2	550638	Elm Grove	WI
"PRO-CHANGE BEHAVIOR SYSTEMS, INC."	3	1044889	South Kingstown	RI
"PROFECTUS BIOSCIENCES, INC."	6	4121094	BALTIMORE	MD
PROFESSIONAL AND SCIENTIFIC ASSOCIATES	1	20000	MC LEAN	VA
"PROFUSA, INC."	3	1322713	SAN FRANCISCO	CA
"PROGENITEC, INC."	1	199918	ARLINGTON	TX
"PROGERIA RESEARCH FOUNDATION, INC."	1	13500	PEABODY	MA
"PROGNOSYS BIOSCIENCES, INC."	4	1969762	San Diego	CA
PROGRAM/APPROPRIATE/TECHNOLOGY/HLTH	4	1456347	SEATTLE	WA
"PROMENTIS PHARMACEUTICALS, INC."	1	600000	Milwaukee	WI
"PROMETHEUS RESEARCH, LLC"	1	346748	NEW HAVEN	CT
"PROMILIAD BIOPHARMA, INC."	1	287766	ALBERTON	MT
PROSETTA CORPORATION	1	110995	SAN FRANCISCO	CA
"PROSOLIA, INC."	1	350000	INDIANAPOLIS	IN
"PROTEIN ADVANCES, INC."	3	1343698	SEATTLE	WA
"PROTEIN METRICS, INC."	2	417117	SAN CARLOS	CA
"PROTEIN POTENTIAL, LLC"	4	1963088	ROCKVILLE	MD
PROTEIN SOCIETY	1	5000	Baltmore	MD
"PROTEOTECH, INC."	1	1059823	KIRKLAND	WA
"PROTEOVISTA, LLC"	1	208123	MADISON	WI
"PROTEUS DIGITAL HEALTH, INC."	1	300000	REDWOOD CITY	CA
"PROTHERA BIOLOGICS, LLC"	1	250566	EAST PROVIDENCE	RI
"PROTOCHIPS, INC."	1	390413	RALEIGH	NC
PROVIDENCE PORTLAND MEDICAL CENTER	5	1538875	PORTLAND	OR
PUBLIC HEALTH FOUNDATION ENTERPRISES	8	4945298	CITY OF INDUSTRY	CA
PUBLIC HEALTH INSTITUTE	15	6070096	OAKLAND	CA
PUBLIC HEALTH SOLUTIONS	1	848908	NEW YORK	NY
PUGET SOUND BLOOD CENTER	7	2709275	SEATTLE	WA
PULMATRIX	1	102851	LEXINGTON	MA
"PULMOKINE, INC."	2	926012	SLINGERLANDS	NY
"PULMOTECT, INC"	1	997525	Houston	TX
PURDUE UNIVERSITY WEST LAFAYETTE	102	27326781	WEST LAFAYETTE	IN
"QM4D, LLC"	1	143056	CHAPEL HILL	NC
QR PHARMA INC.	1	349999	RADNOR	PA
"QRONO, INC"	1	256217	PITTSBURGH	PA
Q-TRACK CORPORATION	3	583240	HUNTSVILLE	AL
"QUADRIGA BIOSCIENCES, INC."	1	288099	SANTA CLARA	CA
"QUALITY BIOLOGICAL, INC."	1	2474435	GAITHERSBURG	MD
"QUALITY ELECTRODYNAMICS, LLC"	1	224999	MAYFIELD VILLAGE	OH
QUANTERIX CORPORATION	1	713497	CAMBRIDGE	MA
"QUANTUMBIO, INC."	2	662519	STATE COLLEGE	PA
QUEENS COLLEGE	9	2409343	FLUSHING	NY
QUEEN'S MEDICAL CENTER	2	732360	HONOLULU	HI
QUEENSBOROUGH COMMUNITY COLLEGE	1	361734	NEW YORK	NY
QUEST PRODUCT DEVELOPMENT CORPORATION	1	561069	ARVADA	CO
QUSPIN	1	575420	Westminster	CO
"RADIABEAM TECHNOLOGIES, LLC"	1	299896	Marina Del Rey	CA
"RADIANT CREATIVE GROUP, LLC"	3	1225973	HOUSTON	TX
"RADIANT GENOMICS, INC."	1	148262	BERKELEY	CA
"RADIATION MONITORING DEVICES, INC."	4	1611095	WATERTOWN	MA
RADIATION RESEARCH SOCIETY	1	7500	BOZEMAN	MT
"RADIKAL THERAPEUTICS, INC."	8	4575554	WEST TISBURY	MA
"RADIX BIOSOLUTIONS, LTD"	1	224502	GEORGETOWN	TX
"RADIX PHARMACEUTICALS, INC."	1	749856	Potomac	MD
RAND CORPORATION	85	34313241	SANTA MONICA	CA
RAPID CITY REGIONAL HOSPITAL	2	451169	RAPID CITY	SD
RBHS -CANCER INSTITUTE OF NEW JERSEY	31	7432937	NEW BRUNSWICK	NJ
RBHS-NEW JERSEY MEDICAL SCHOOL	94	36292336	NEWARK	NJ
RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL	58	19919940	PISCATAWAY	NJ
RBHS-SCHOOL OF DENTAL MEDICINE	2	623558	NEWARK	NJ
RBHS-SCHOOL OF PUBLIC HEALTH	7	3464400	PISCATAWAY	NJ
RBHS-SCHOOL/ HEALTH RELATED PROFESSIONS	2	158434	NEWARK	NJ
"REACTIVE INNOVATIONS, LLC"	1	497800	Westford	MA
"REDWOOD BIOSCIENCE, INC."	1	530315	BURLINGAME	CA
REED COLLEGE	2	601850	PORTLAND	OR
REGENERATIVE RESEARCH FOUNDATION	5	1771445	RENSSELAER	NY
"REGENX BIOSCIENCES, LLC"	1	261327	WASHINGTON	DC
REHABILITATION INSTITUTE OF CHICAGO	17	6616429	CHICAGO	IL
"REMPEX PHARMACEUTICALS, INC."	1	191798	SAN DIEGO	CA
"RENOVA LIFE, INC."	1	155986	College Park	MD
"RENOVO NEURAL, INC."	1	298449	CLEVELAND	OH
RENSSELAER POLYTECHNIC INSTITUTE	31	10720580	TROY	NY
"REPRODUCTIVE RESEARCH TECHNOLOGIES, L P"	1	527078	HOUSTON	TX
"RESEARCH CIRCLE ASSOCIATES, LLC"	1	196601	BALTIMORE	MD
RESEARCH INST NATIONWIDE CHILDREN'S HOSP	59	27957763	COLUMBUS	OH
RESEARCH INST OF FOX CHASE CAN CTR	63	24913239	PHILADELPHIA	PA
RESEARCH TRIANGLE INSTITUTE	65	66216192	RESEARCH TRIANGLE	NC
"RESET THERAPEUTICS, INC."	1	355698	BURLINGAME	CA
RESODYN CORPORATION	2	363272	BUTTE	MT
RESONON INC.	1	389222	BOZEMAN	MT
"RESTORATION GENETICS, INC."	2	49385	PORTLAND	OR
RETINA FOUNDATION OF THE SOUTHWEST	1	478301	DALLAS	TX
RETIVUE	1	225000	CHARLOTTESVILLE	VA
"RETROJECT, INC."	1	159063	CHAPEL HILL	NC
"RETROVIROX, INC."	2	509908	SAN DIEGO	CA
"RG BIOPHARMA, LLC"	1	240309	SAN DIEGO	CA
"RHEOMICS, INC."	1	239933	CHAPEL HILL	NC
"RHO FEDERAL SYSTEMS DIVISION, INC."	5	17537077	CHAPEL HILL	NC
RHODE ISLAND COLLEGE	1	329762	PROVIDENCE	RI
RHODE ISLAND HOSPITAL	80	30461209	PROVIDENCE	RI
RICE UNIVERSITY	44	11864869	HOUSTON	TX
"RIGHTCARE SOLUTIONS, INC."	1	164463	HORSHAM	PA
"RINGFUL, LLC"	1	149852	AUSTIN	TX
"RIPARIAN PHARMACEUTICALS, INC."	1	245125	BOSTON	MA
"RIPPLE, LLC"	1	1000000	Salt Lake City	UT
"RIVANNA MEDICAL, LLC"	1	210419	CROZET	VA
RIVERSIDE RESEARCH INSTITUTE	6	1817768	NEW YORK	NY
"ROBIN MEDICAL, INC."	2	1042261	BALTIMORE	MD
"ROCHAL INDUSTRIES, LLP"	1	149988	San Antonio	TX
ROCHESTER GENERAL HOSPITAL (NY)	1	529185	ROCHESTER	NY
ROCHESTER INSTITUTE OF TECHNOLOGY	3	1164202	ROCHESTER	NY
ROCKEFELLER UNIVERSITY	122	61367051	NEW YORK	NY
"ROCKLAND IMMUNOCHEMICALS, INC."	1	249975	BOYERTOWN	PA
ROCKY MOUNTAIN VIROLOGY ASSOCIATION	1	6000	FORT COLLINS	CO
ROGER WILLIAMS HOSPITAL	6	1761799	PROVIDENCE	RI
"ROGERS SCIENCES, INC."	1	484215	BEVERLY	MA
ROSALIND FRANKLIN UNIV OF MEDICINE & SCI	32	8061775	NORTH CHICAGO	IL
"ROSKAMP INSTITUTE, INC."	2	649877	SARASOTA	FL
ROSWELL PARK CANCER INSTITUTE CORP	63	34281239	BUFFALO	NY
ROWAN UNIVERSITY	4	603798	GLASSBORO	NJ
ROWAN UNIVERSITY SCHOOL/OSTEOPATHIC MED	3	897050	STRATFORD	NJ
"RRF FIELD SERVICES, LLC"	1	467089	WALTHAM	MA
"RUBICON BIOTECHNOLOGY, INC."	1	318914	LAKE FOREST	CA
RUSH UNIVERSITY MEDICAL CENTER	101	45437027	CHICAGO	IL
RUTGERS BIOMEDICAL/HEALTH SCIENCES-RBHS	2	250079	NEW BRUNSWICK	NJ
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK	135	62489902	NEW BRUNSWICK	NJ
RUTGERS THE STATE UNIV OF NJ CAMDEN	2	818361	CAMDEN	NJ
RUTGERS THE STATE UNIV OF NJ NEWARK	23	6749485	NEWARK	NJ
"RXBIO, INC."	1	1999315	JOHNSON CITY	TN
"RXFUNCTION, INC."	1	618129	MINNEAPOLIS	MN
"RXGEN, INC."	1	203038	HAMDEN	CT
"SAFE MEDICAL DESIGN, LLC"	1	147039	SAN FRANCISCO	CA
SAGE BIONETWORKS	1	2124509	SEATTLE	WA
"SAGE THERAPEUTICS, INC."	1	162500	CAMBRIDGE	MA
"SAI INTERACTIVE, INC."	1	399920	CHATTANOOGA	TN
"SAIC-FREDERICK, INC."	66	370006506	FREDERICK	MD
SAINT JOSEPH MERCY HEALTH SYSTEM	1	1510306	ANN ARBOR	MI
SAINT LOUIS UNIVERSITY	63	16231994	SAINT LOUIS	MO
SAINT LUKE'S HOSPITAL	2	376492	KANSAS CITY	MO
"SALGOMED, INC."	1	162424	DEL MAR	CA
SALISH KOOTENAI COLLEGE	2	531094	PABLO	MT
SALK INSTITUTE FOR BIOLOGICAL STUDIES	83	41115822	LA JOLLA	CA
SALUS UNIVERSITY	2	567221	ELKINS PARK	PA
SAN DIEGO STATE UNIVERSITY	80	26533223	SAN DIEGO	CA
SAN FRANCISCO DEPT OF PUBLIC HEALTH	1	140827	SAN FRANCISCO	CA
SAN FRANCISCO STATE UNIVERSITY	20	5955274	SAN FRANCISCO	CA
SAN JOSE STATE UNIVERSITY	9	1428290	SAN JOSE	CA
SAN JUAN BAUTISTA SCHOOL OF MEDICINE	1	107128	CAGUAS	PR
SAN JUAN HEALTH DEPARTMENT	1	573647	SAN JUAN	PR
"SANARIA, INC."	9	5818050	ROCKVILLE	MD
SANDBOX LEARNING COMPANY	1	144884	Charlotte	NC
SANDIA CORP-SANDIA NATIONAL LABORATORIES	2	1672144	ALBUQUERQUE	NM
"SANDSTONE DIAGNOSTICS, INC."	1	149189	LIVERMORE	CA
"SANERON CCEL THERAPEUTICS, INC."	1	211473	TAMPA	FL
SANFORD RESEARCH/USD	14	12027508	SIOUX FALLS	SD
SANFORD-BURNHAM MEDICAL RESEARCH INSTIT	123	53588265	LA JOLLA	CA
"SANOFI AVENTIS U S, INC."	1	2289628	BRIDGEWATER	NJ
SANSUM DIABETES RESEARCH INSTITUTE	1	2250000	SANTA BARBARA	CA
SARC	1	2150500	ANN ARBOR	MI
"SARFEZ PHARMACEUTICALS, INC."	1	276085	VIENNA	VA
SAVANNAH STATE UNIVERSITY	4	1246198	SAVANNAH	GA
"SAVANT HWP, INC."	1	2507295	SAN CARLOS	CA
"SAVARA, INC."	2	1480722	Austin	TX
"SCARAB GENOMICS, LLC"	2	1193577	MADISON	WI
"SCARLESS LABORATORIES, INC."	1	199740	BEVERLY HILLS	CA
SCHEPENS EYE RESEARCH INSTITUTE	26	9879553	BOSTON	MA
"SCHNELLGEN, INC."	1	275219	MOUNT PLEASANT	SC
"SCHOLARNEXUS, LLC"	1	213073	SAN DIEGO	CA
SCIENCE MUSEUM OF MINNESOTA	2	338857	ST. PAUL	MN
SCIENCE-APPROACH	1	250000	TUCSON	AZ
SCIENTIFIC ANALYSIS CORPORATION	4	1790890	SAN FRANCISCO	CA
"SCIENTIFIC CONSULTING GROUP, INC."	1	982792	GAITHERSBURG	MD
"SCR, INC."	1	908941	LOUISVILLE	KY
SCRIPPS FLORIDA	69	30110583	JUPITER	FL
SCRIPPS HEALTH	2	551511	SAN DIEGO	CA
SCRIPPS RESEARCH INSTITUTE	335	198275639	LA JOLLA	CA
"SEACHANGE PHARMACEUTICALS, INC."	2	757392	SAN JOSE	CA
"SEACOAST SCIENCE, INC."	1	496774	CARLSBAD	CA
SEATTLE BIOMEDICAL RESEARCH INSTITUTE	34	21198581	SEATTLE	WA
SEATTLE CHILDREN'S HOSPITAL	77	30652212	SEATTLE	WA
SEATTLE INST FOR BIOMEDICAL/CLINICAL RES	14	5851829	SEATTLE	WA
SEATTLE PACIFIC UNIVERSITY	1	403459	SEATTLE	WA
SEATTLE-KING COUNTY PUBLIC HEALTH DEPT	1	440682	SEATTLE	WA
SEIU EDUCATION AND SUPPORT FUND	2	667170	WASHINGTON	DC
SELEXYS PHARMACEUTICALS CORPORATION	1	1037638	OKLAHOMA CITY	OK
SENSIMETRICS CORPORATION	1	204583	MALDEN	MA
"SENSIQ TECHNOLOGIES, INC."	1	320572	OKLAHOMA CITY	OK
"SENTIEN BIOTECHNOLOGIES, INC."	1	191418	Medford	MA
SEPULVEDA RESEARCH CORPORATION	3	1094337	SEPULVEDA	CA
SEQUELA	1	535755	Pewee Valley	KY
"SEQUELLA, INC."	4	1379927	ROCKVILLE	MD
SEQUOIA FOUNDATION	1	47382	LA JOLLA	CA
"SERACARE LIFE SCIENCES, INC."	2	3118669	MILFORD	MA
"SERPIN PHARMA, LLC"	1	142970	NOKESVILLE	VA
SETON HALL UNIVERSITY	5	549702	SOUTH ORANGE	NJ
"SGC PHARMA, INC."	1	149847	WELLESLEY	MA
"SHARKLET TECHNOLOGIES, INC."	2	1307703	AURORA	CO
SHARP HEALTHCARE FOUNDATION	1	77500	SAN DIEGO	CA
SHAW UNIVERSITY	3	403212	RALEIGH	NC
SHENANDOAH UNIVERSITY	1	28649	WINCHESTER	VA
SHEPPARD AND ENOCH PRATT HOSPITAL	1	228821	BALTIMORE	MD
SHIFA BIOMEDICAL CORPORATION	1	753972	MALVERN	PA
"SIGA TECHNOLOGIES, INC."	2	2517040	CORVALLIS	OR
"SIGMOVIR BIOSYSTEMS, INC."	3	1007144	ROCKVILLE	MD
"SIGNAL SOLUTIONS, LLC"	1	173773	LEXINGTON	KY
SIGNUM BIOSCIENCES	2	1977254	MONMOUTH JUNCTION	NJ
SILENT SPRING INSTITUTE	2	1062089	NEWTON	MA
"SIMBEX, LLC"	3	1371694	LEBANON	NH
"SIMMERSION, LLC."	1	142077	COLUMBIA	MD
"SIMQUEST , LLC"	1	303634	SILVER SPRING	MD
"SIMULCONSULT, INC."	2	746282	CHESTNUT HILL	MA
"SIRGA ADVANCED BIOPHARMA, INC."	1	233059	RALEIGH	NC
"SITEONE THERAPEUTICS, INC."	2	521283	REDWOOD CITY	CA
SIXAL CORPORATION	1	200000	SANTA MONICA	CA
"SIXONE SOLUTIONS, LLC"	1	292886	AURORA	CO
SLOAN-KETTERING INST CAN RES	241	111289141	NEW YORK	NY
"SMARTMOVE, INC."	1	361908	FORT COLLINS	CO
SMITH COLLEGE	2	440681	NORTHAMPTON	MA
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE	7	2387278	SAN FRANCISCO	CA
SMITHSONIAN INSTITUTION	2	592534	ARLINGTON	VA
"SOCIAL AND SCIENTIFIC SYSTEMS, INC."	5	22239420	SILVER SPRING	MD
SOCIAL SCIENCE RESEARCH COUNCIL	1	6000	BROOKLYN	NY
SOCIAL SCIENCES INNOVATIONS CORPORATION	1	483786	NEW YORK	NY
SOCIAL SOLUTIONS INTERNATIONAL	1	597281	SILVER SPRING	MD
SOCIETY FOR DEVELOPMENTAL BIOLOGY	1	15000	BETHESDA	MD
SOCIETY FOR GYNECOLOGIC INVESTIGATION	1	20000	ANNAPOLIS	MD
SOCIETY FOR INVESTIGATIVE DERMATOLOGY	1	25000	CLEVELAND	OH
SOCIETY FOR MUCOSAL IMMUNOLOGY	1	5000	MILWAUKEE	WI
SOCIETY FOR NEUROSCIENCE	3	369952	WASHINGTON	DC
"SOCIETY FOR PREVENTION RESEARCH, INC."	1	168000	FAIRFAX	VA
SOCIETY FOR THE ADV CHICANOS/NATIVE AMER	2	1786860	SANTA CRUZ	CA
SOCIETY FOR THE STUDY OF REPRODUCTION	1	50000	MADISON	WI
SOCIETY FOR WOMEN'S HEALTH RESEARCH	1	6000	WASHINGTON	DC
SOCIETY OF TOXICOLOGY	1	25000	RESTON	VA
SOCIOMETRICS CORPORATION	5	1760541	LOS ALTOS	CA
"SOFIE BIOSCIENCES, LLC"	1	598378	CULVER CITY	CA
"SOLIDUS BIOSCIENCES, INC."	1	485884	SAN FRANCISCO	CA
"SOLIGENIX, INC."	4	3759193	PRINCETON	NJ
"SOLOHEALTH, INC."	1	388222	DULUTH	GA
"SOMAGENICS, INC."	1	783579	SANTA CRUZ	CA
"SONITRACK SYSTEMS, INC."	2	225214	Palo Alto	CA
"SONORAN BIOSCIENCES, INC."	1	149991	CHANDLER	AZ
"SORRENTO THERAPEUTICS, INC."	1	297832	SAN DIEGO	CA
SOUTH CAROLINA STATE UNIVERSITY	1	73904	ORANGEBURG	SC
SOUTH DAKOTA STATE UNIVERSITY	3	676007	BROOKINGS	SD
SOUTH FLORIDA VA FDN/RESEARCH/ EDUCATION	1	495767	MIAMI	FL
SOUTHEAST CANCER CONTROL CONSORTIUM	1	1874946	WINSTON-SALEM	NC
SOUTHERN CALIFORNIA INST FOR RES/EDUC	6	2017314	LONG BEACH	CA
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE	10	2998016	CARBONDALE	IL
SOUTHERN ILLINOIS UNIVERSITY SCH OF MED	12	4436311	SPRINGFIELD	IL
SOUTHERN METHODIST UNIVERSITY	5	1274997	DALLAS	TX
SOUTHERN NEVADA CANCER RESEARCH FDN	1	427060	LAS VEGAS	NV
SOUTHERN RESEARCH INSTITUTE	19	6458448	BIRMINGHAM	AL
SOUTHWEST RESEARCH INSTITUTE	2	1487931	SAN ANTONIO	TX
SOUTHWESTERN COLLEGE	1	78165	CHULA VISTA	CA
"SOYMEDS, INC."	1	391627	DAVIDSON	NC
SPALDING UNIVERSITY	1	1630	LOUISVILLE	KY
SPARTANBURG REGIONAL MEDICAL CENTER	2	1533328	SPARTANBURG	SC
SPAULDING REHABILITATION HOSPITAL	5	1910675	CHARLESTOWN	MA
"SPECIFIC TECHNOLOGIES, LLC"	1	145205	WEST PALM BEACH	FL
"SPECTROGLYPH, LLC"	1	223960	RICHLAND	WA
SPECTROS CORPORATION	1	544410	Portola Valley	CA
SPECTRUM HEALTH HOSPITALS	2	1593654	GRAND RAPIDS	MI
"SPECTRUM UNLIMITED, INC."	1	771198	WOODSTOCK	GA
SPEECH TECHNOLOGY/APPLIED RESEARCH CORP.	1	496907	BEDFORD	MA
SPELMAN COLLEGE	2	619781	ATLANTA	GA
"SPHYNKX THERAPEUTICS, LLC"	1	316867	CHARLOTTESVILLE	VA
SPIRE CORPORATION	2	976818	BEDFORD	MA
"SPRING BANK TECHNOLOGIES, INC."	1	687555	MILFORD	MA
"SRA INTERNATIONAL, INC."	1	3410761	FAIRFAX	VA
SRI INTERNATIONAL	84	42623685	MENLO PARK	CA
ST. BARNABAS MEDICAL CENTER	1	190653	LIVINGSTON	NJ
ST. FRANCIS HOSPITAL AND MEDICAL CENTER	1	327675	HARTFORD	CT
ST. JOHN'S UNIVERSITY	3	921222	QUEENS	NY
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER	12	2678080	PHOENIX	AZ
ST. JUDE CHILDREN'S RESEARCH HOSPITAL	99	64634574	MEMPHIS	TN
ST. LUKE'S-ROOSEVELT INST FOR HLTH SCIS	18	6961261	NEW YORK	NY
ST. MARY'S UNIVERSITY	1	195684	SAN ANTONIO	TX
ST. OLAF COLLEGE	1	280601	NORTHFIELD	MN
ST. VINCENT HOSPITAL	1	755168	GREEN BAY	WI
"STANDARD IMAGING, INC."	1	437279	MIDDLETON	WI
STANFORD UNIVERSITY	828	357812990	STANFORD	CA
STARSHIP HEALTH TECHNOLOGIES	1	145843	FORT WASHINGTON	PA
STATE COLLEGE OF OPTOMETRY	9	2162395	NEW YORK	NY
STATE UNIVERSITY NEW YORK STONY BROOK	165	51060131	STONY BROOK	NY
STATE UNIVERSITY OF NEW YORK AT ALBANY	32	7562552	ALBANY	NY
STATE UNIVERSITY OF NEW YORK AT BUFFALO	156	48133703	BUFFALO	NY
"STATE UNIVERSITY OF NY,BINGHAMTON"	11	4601736	BINGHAMTON	NY
"STATEGICS, INC."	1	227624	SUNNYVALE	CA
"STATNET CONSULTING, LLC"	1	34860	GAITHERSBURG	MD
"STEALTH BIOSCIENCES, INC."	1	316260	Dover	DE
STEELWORKER CHARITABLE/EDUCATIONAL ORG	3	3641090	PITTSBURGH	PA
"STELLA THERAPEUTICS, INC."	1	107283	SEATTLE	WA
"STELLARRAY, INC."	1	609718	AUSTIN	TX
"STEMMED, LTD"	1	139030	HOUSTON	TX
"STEMSYNERGY THERAPEUTICS, INC."	1	859094	MIAMI	FL
STEVENS INSTITUTE OF TECHNOLOGY	4	1076586	HOBOKEN	NJ
"STIMDESIGNS, LLC"	1	200114	CARMEL	CA
STOWERS INSTITUTE FOR MEDICAL RESEARCH	15	4315128	KANSAS CITY	MO
STRATATECH CORPORATION	2	2027880	MADISON	WI
"STRETCHING CHARTS, INC."	1	183035	TACOMA	WA
"STROMATEC, INC"	1	468909	BURLINGTON	VT
STUDENT NATIONAL MEDICAL ASSOCIATION	1	65450	WASHINGTON	DC
SUFFOLK UNIVERSITY	1	32197	BOSTON	MA
SULLIVAN ALLIANCE/TRANSFORM/HLTH/PROFESS	1	858952	WASHINGTON	DC
SUMMA HEALTH SYSTEM	2	430224	AKRON	OH
"SUNNY BIODISCOVERY, INC."	1	149451	SANTA CLARA	CA
SUNY DOWNSTATE MEDICAL CENTER	37	20557902	BROOKLYN	NY
"SUPERBETTER LABS, INC."	1	150000	PIEDMONT	CA
"SURFACE BIOADVANCES, INC."	1	150000	SAN DIEGO	CA
SURGISENSE CORPORATION	1	837727	Bethesda	MD
"SUVICA, INC."	1	249672	BOULDER	CO
SWARTHMORE COLLEGE	1	349200	SWARTHMORE	PA
"SWEDISH MEDICAL CENTER, FIRST HILL"	4	1309133	SEATTLE	WA
SYMBION RESEARCH INTERNATIONAL	1	100000	NEWBURY PARK	CA
"SYMIC BIOMEDICAL, INC."	2	409374	SAN FRANCISCO	CA
"SYNEDGEN, INC."	1	149901	CLAREMONT	CA
"SYNERGY ENTERPRISES, INC."	3	1175077	SILVER SPRING	MD
"SYNTERMED, INC,"	1	1030238	ATLANTA	GA
"SYNTHASOME, INC."	1	767209	SAN DIEGO	CA
"SYNTHOMICS, INC."	1	135100	MOSS BEACH	CA
"SYNTHONICS, INC."	1	855191	BLACKBURG	VA
"SYNTRIX BIOSYSTEMS, INC."	1	933466	AUBURN	WA
"SYNZYME TECHNOLOGY, INC."	1	957098	IRVINE	CA
SYRACUSE UNIVERSITY	12	3265345	SYRACUSE	NY
SYSTEMS RESEARCH AND APPLICATION CORP.	1	9561310	FAIRFAX	VA
TACOMA GENERAL HOSPITAL	1	605178	TACOMA	WA
"TACONIC FARMS, INC."	2	1799608	GERMANTOWN	NY
"TALKING FINGERS, INC."	1	149985	SAN RAFAEL	CA
TAMPA VA RESEARCH AND EDUCATION FDN	1	262012	ZEPHYRHILLS	FL
"TANGLEWOOD RESEARCH, INC."	2	478877	GREENSBORO	NC
"TARGESON, INC."	1	923775	SAN DIEGO	CA
"TARGETED THERAPEUTIC SOLUTIONS, LLC"	1	239505	PHILADELPHIA	PA
"TASSO, INC."	1	196601	MADISON	WI
"TDA RESEARCH, INC."	1	150000	WHEAT RIDGE	CO
TECH ASSISTANCE INST/INTELLECTUAL DISABL	2	589458	Eugene	OR
"TECHLAB, INC."	1	299841	BLACKSBURG	VA
"TECHNOVAX, INC."	1	300000	TARRYTOWN	NY
"TECHSHOT, INC."	1	915967	GREENVILLE	IN
"TELESAGE, INC."	2	1025982	CHAPEL HILL	NC
TEMPEST TECHNOLOGIES	1	281405	LOS ANGELES	CA
TEMPLE UNIV OF THE COMMONWEALTH	168	55995595	PHILADELPHIA	PA
TENNESSEE STATE UNIVERSITY	2	1082942	NASHVILLE	TN
"TENSIVE CONTROLS, INC."	1	820563	GREENSBORO	NC
TERAPIO	2	1250000	AUSTIN	TX
TERATOLOGY SOCIETY	1	10000	RESTON	VA
"TERPENOID THERAPEUTICS, INC."	1	163134	Coralville	IA
TERRA NOVA LEARNING SYSTEMS	1	249621	WAUWATOSA	WI
"TETRA DISCOVERY PARTNERS, LLC"	4	1437329	GRAND RAPIDS	MI
TEXAS A&M INTERNATIONAL UNIVERSITY	1	106788	LAREDO	TX
TEXAS A&M UNIVERSITY	34	10769084	COLLEGE STATION	TX
TEXAS A&M UNIVERSITY	16	4181683	COLLEGE STATION	TX
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR	54	15679429	COLLEGE STATION	TX
TEXAS A&M UNIVERSITY-CORPUS CHRISTI	1	218687	CORPUS CHRISTI	TX
TEXAS A&M UNIVERSITY-KINGSVILLE	2	489994	KINGSVILLE	TX
TEXAS AGRILIFE RESEARCH	14	3206406	COLLEGE STATION	TX
TEXAS BIOMEDICAL RESEARCH INSTITUTE	33	25108517	SAN ANTONIO	TX
TEXAS CHRISTIAN UNIVERSITY	3	1307382	FORT WORTH	TX
TEXAS ENGINEERING EXPERIMENT STATION	8	2100167	COLLEGE STATION	TX
